Weight,Height,Gender,Age,BMIcase
92.0851902,1.760249514,0,59,4
61.08912444,1.595498708,0,25,4
82.45403663,1.816538313,0,50,5
101.7133061,1.790696455,0,62,5
99.60952716,1.969725632,1,57,4
99.04124818,1.85277777,1,46,5
62.34733665,1.543259314,0,35,1
89.72590622,1.825479895,1,24,7
62.03876908,1.475992191,0,19,7
67.67561247,1.536075421,0,38,5
107.9969223,1.945391442,1,34,6
82.82628328,1.961906803,1,22,5
70.47653237,1.434502995,0,65,4
73.34722538,1.846975337,1,46,5
83.73327444,1.619256312,0,32,5
81.76374638,1.674849421,0,55,5
78.62034191,1.908509199,1,48,4
107.5938459,1.755071327,0,37,4
92.79091692,1.823244974,0,35,7
79.39268874,1.568532782,0,52,7
79.17277465,1.768747111,1,27,4
90.94434371,1.781180629,1,23,5
103.9980384,1.816384463,0,54,5
70.92278162,1.667450657,0,44,7
95.54377863,1.682288501,0,42,6
93.46357429,1.714944219,0,40,7
75.53521253,1.65907713,0,46,5
75.85228737,1.930448666,1,43,5
90.16907158,1.728364392,1,49,4
95.9933866,1.742054965,1,64,6
85.85827471,1.90853916,1,41,5
97.39804516,1.945866432,1,27,7
69.95417071,1.463939207,0,41,7
106.7150373,1.796820539,1,52,6
55.68302491,1.47909257,0,45,3
65.54053725,1.564827996,0,54,5
83.51422702,1.618686983,0,38,4
95.86073217,1.796111304,0,36,4
71.56513974,1.50112821,0,61,4
50.23352307,1.803427982,1,58,7
63.52949118,1.827001938,0,41,4
58.13286102,1.829761919,0,65,7
74.61466629,1.750529237,1,55,6
89.71598685,1.610488223,0,46,5
90.24667177,1.648706016,0,65,4
96.29567103,1.815337095,1,42,7
63.04900538,1.627109073,0,27,6
75.13442246,1.610962039,0,56,3
54.43046228,1.401962832,0,22,6
67.96557741,1.799178375,1,29,5
72.87722611,1.8142565,1,49,7
100.4386578,1.797675795,0,32,4
68.95487349,1.647120303,0,40,5
59.73373271,1.910820192,1,54,4
86.127112,1.668091532,0,38,5
57.9826502,1.542503495,0,65,7
69.6443804,1.948088477,1,48,4
59.56960815,1.402599153,0,43,7
94.00141138,1.710190206,0,19,5
58.58150874,1.396166368,0,63,4
85.45909463,1.773105206,1,62,5
63.1969017,1.674269604,0,60,7
65.7926542,1.846463074,1,27,4
83.55031235,1.728137415,1,55,7
53.2688779,1.97704788,1,65,6
105.7346007,1.81796568,0,20,6
88.82961783,1.64254082,0,58,7
66.38289305,1.591765687,0,63,4
90.77067112,1.812226486,0,56,5
81.98351435,1.797633171,0,30,4
96.94983248,1.779204642,0,30,5
60.31451426,1.464464853,0,65,3
90.45969687,1.755515519,1,21,1
74.66153087,1.768776058,1,64,7
69.27080234,1.560218124,0,64,6
88.68304378,1.727818062,1,51,3
64.7765248,1.565328744,0,64,2
101.3123963,1.821013581,0,48,3
54.56528998,1.845019101,1,61,4
78.32002015,1.843729925,1,51,5
97.75390087,1.814271764,0,60,6
100.3141511,1.96047099,1,62,5
106.7964766,1.78953579,0,50,2
62.72819113,1.634488059,0,36,1
108.9615979,1.813730679,0,44,5
71.6584568,1.96262079,1,41,5
53.05612728,1.774224345,1,64,5
95.31702551,1.970015757,1,26,6
101.6180012,1.798837119,0,38,5
91.93419368,1.693010459,0,64,3
95.62469998,1.822643097,0,33,4
50.8602608,1.883025799,1,62,4
53.30093997,1.917194987,1,20,4
83.95020903,1.737197876,0,57,7
78.49331389,1.802542907,1,25,5
64.67991229,1.851982498,1,37,5
69.85101592,1.616389316,0,42,7
58.70758438,1.665563444,0,21,3
83.23653917,1.634835896,0,24,5
107.4159742,1.775745845,0,55,4
82.24963517,1.536515913,0,37,6
90.27242755,1.644031398,0,47,6
51.47806723,1.713962052,1,29,2
93.41034359,1.968127089,1,23,5
105.4136856,1.735907329,0,34,5
78.512285,1.687032069,0,63,6
97.30754561,1.764414963,0,30,2
97.47846653,1.742340658,0,43,4
66.81205156,1.701267328,0,42,5
91.73607063,1.735744518,1,42,4
92.95632012,1.86257626,1,36,6
106.0074376,1.752710445,0,63,5
62.4665806,1.79915349,1,34,6
52.38536628,1.864938275,1,31,6
96.33433054,1.852698119,1,28,7
106.9164726,1.791994679,0,34,2
95.00785655,1.900976895,1,26,3
51.78574149,1.935099356,1,35,4
105.8934663,1.772080066,1,57,6
53.47297625,1.741531241,0,47,4
58.02542666,1.667868682,0,54,2
66.09806553,1.793133492,1,29,5
95.2721235,1.739594404,0,28,5
51.69081359,1.722394456,1,37,4
109.5814644,1.86350998,1,21,5
105.8757364,1.927500978,1,51,6
66.11453211,1.895306496,1,28,5
99.02791202,1.804451372,1,55,7
103.3613091,1.738031346,0,51,7
103.1234273,1.755417698,1,65,5
97.08357891,1.714506787,0,65,4
67.98750165,1.40697068,0,55,5
60.4930081,1.778894539,1,47,4
94.9900894,1.915579414,1,27,4
105.5816072,1.805304061,0,19,7
95.72631907,1.867232215,1,53,4
52.43905642,1.42627364,0,18,5
67.10467229,1.876819331,1,37,1
104.9959196,1.858554899,1,49,6
105.045749,1.819411725,0,48,6
50.78862328,1.785835476,1,46,4
83.63601346,1.820291016,0,25,4
83.52859831,1.935999968,1,42,1
109.0372712,1.933531333,1,37,7
65.60229542,1.933772144,1,43,7
53.98666637,1.904013867,1,54,5
70.66644643,1.9285212,1,64,5
91.00156525,1.820250057,1,38,5
64.80628758,1.655853952,0,26,5
59.63238092,1.822203872,1,54,6
65.44790068,1.494560395,0,18,6
60.98219518,1.936653032,1,55,7
57.24066826,1.778929704,1,54,5
94.42330404,1.835574228,1,28,7
88.88368078,1.744276838,0,34,4
63.91822385,1.77176459,0,27,7
100.5732492,1.751628479,1,24,5
90.03945103,1.935139305,1,55,4
98.10584309,1.81258862,0,25,6
56.74497535,1.874571046,1,35,6
52.89591292,1.794997362,1,23,2
64.41526446,1.527752223,0,46,4
67.54265588,1.925715087,1,34,7
73.20552705,1.93157409,1,47,6
81.06681029,1.849698082,1,62,1
77.35678696,1.82941354,1,25,5
103.6151997,1.747788321,0,22,5
98.90616464,1.782729714,1,56,5
55.70775931,1.524309119,0,43,2
62.67910155,1.603190124,0,26,4
50.77415579,1.826255751,1,28,7
