Weight,Height,BMI,Gender,Age,BMIcase
92.0851902,1.760249514,29.71948799,Female,59,over weight
61.08912444,1.595498708,23.99777555,Female,25,normal
82.45403663,1.816538313,24.98749946,Female,50,normal
101.7133061,1.790696455,31.72004707,Female,62,obese
99.60952716,1.969725632,25.67375577,Male,57,over weight
99.04124818,1.85277777,28.85156942,Male,46,over weight
62.34733665,1.543259314,26.17821875,Female,35,over weight
89.72590622,1.825479895,26.92549802,Male,24,over weight
62.03876908,1.475992191,28.4770536,Female,19,over weight
67.67561247,1.536075421,28.681847,Female,38,over weight
107.9969223,1.945391442,28.53628126,Male,34,over weight
82.82628328,1.961906803,21.5184719,Male,22,normal
70.47653237,1.434502995,34.24850424,Female,65,obese
73.34722538,1.846975337,21.50114051,Male,46,normal
83.73327444,1.619256312,31.93499686,Female,32,obese
81.76374638,1.674849421,29.14803267,Female,55,over weight
78.62034191,1.908509199,21.58471968,Male,48,normal
107.5938459,1.755071327,34.92994398,Female,37,severe obese
92.79091692,1.823244974,27.91357208,Female,35,severe obese
79.39268874,1.568532782,32.26957981,Female,52,obese
79.17277465,1.768747111,25.30721636,Male,27,over weight
90.94434371,1.781180629,28.66551616,Male,23,over weight
103.9980384,1.816384463,31.52169705,Female,54,severe obese
70.92278162,1.667450657,25.50819792,Female,44,over weight
95.54377863,1.682288501,33.75992399,Female,42,obese
93.46357429,1.714944219,31.77915817,Female,40,obese
75.53521253,1.65907713,27.44203426,Female,46,over weight
75.85228737,1.930448666,20.35411232,Male,43,normal
90.16907158,1.728364392,30.18470789,Male,49,obese
95.9933866,1.742054965,31.63134115,Male,64,obese
85.85827471,1.90853916,23.57110848,Male,41,normal
97.39804516,1.945866432,25.72315223,Male,27,over weight
69.95417071,1.463939207,32.64130609,Female,41,obese
106.7150373,1.796820539,33.05340567,Male,52,obese
55.68302491,1.47909257,25.45259745,Female,45,over weight
65.54053725,1.564827996,26.76558761,Female,54,over weight
83.51422702,1.618686983,31.87386416,Female,38,severe obese
95.86073217,1.796111304,29.7148984,Female,36,over weight
71.56513974,1.50112821,31.75893647,Female,61,obese
50.23352307,1.803427982,15.44528869,Male,58,sever thinness
63.52949118,1.827001938,19.03256673,Female,41,normal
58.13286102,1.829761919,17.36331034,Female,65,mild thinness
74.61466629,1.750529237,24.34924298,Male,55,normal
89.71598685,1.610488223,34.59033211,Female,46,severe obese
90.24667177,1.648706016,33.20050955,Female,65,severe obese
96.29567103,1.815337095,29.22080658,Male,42,over weight
63.04900538,1.627109073,23.81468855,Female,27,normal
75.13442246,1.610962039,28.95131795,Female,56,over weight
54.43046228,1.401962832,27.6929373,Female,22,over weight
67.96557741,1.799178375,20.99619347,Male,29,normal
72.87722611,1.8142565,22.14085862,Male,49,normal
100.4386578,1.797675795,31.07979594,Female,32,severe obese
68.95487349,1.647120303,25.41641689,Female,40,over weight
59.73373271,1.910820192,16.35987611,Male,54,moderate thinness
86.127112,1.668091532,30.95281339,Female,38,severe obese
57.9826502,1.542503495,24.36945117,Female,65,normal
69.6443804,1.948088477,18.35137982,Male,48,mild thinness
59.56960815,1.402599153,30.28012048,Female,43,obese
94.00141138,1.710190206,32.13997571,Female,19,severe obese
58.58150874,1.396166368,30.05288767,Female,63,obese
85.45909463,1.773105206,27.18249256,Male,62,over weight
63.1969017,1.674269604,22.54472809,Female,60,normal
65.7926542,1.846463074,19.29728243,Male,27,normal
83.55031235,1.728137415,27.97638086,Male,55,over weight
53.2688779,1.97704788,13.6282212,Male,65,sever thinness
105.7346007,1.81796568,31.99232251,Female,20,severe obese
88.82961783,1.64254082,32.9249748,Female,58,obese
66.38289305,1.591765687,26.19979532,Female,63,over weight
90.77067112,1.812226486,27.63889013,Female,56,severe obese
81.98351435,1.797633171,25.37022884,Female,30,over weight
96.94983248,1.779204642,30.62635111,Female,30,severe obese
60.31451426,1.464464853,28.12314775,Female,65,over weight
90.45969687,1.755515519,29.35254633,Male,21,over weight
74.66153087,1.768776058,23.86443673,Male,64,normal
69.27080234,1.560218124,28.45637535,Female,64,over weight
88.68304378,1.727818062,29.70602699,Male,51,over weight
64.7765248,1.565328744,26.43665626,Female,64,over weight
101.3123963,1.821013581,30.55175892,Female,48,severe obese
54.56528998,1.845019101,16.02930654,Male,61,moderate thinness
78.32002015,1.843729925,23.03977222,Male,51,normal
97.75390087,1.814271764,29.69815117,Female,60,severe obese
100.3141511,1.96047099,26.10005135,Male,62,over weight
106.7964766,1.78953579,33.34848797,Female,50,severe obese
62.72819113,1.634488059,23.48006311,Female,36,normal
108.9615979,1.813730679,33.12286276,Female,44,severe obese
71.6584568,1.96262079,18.60350011,Male,41,normal
53.05612728,1.774224345,16.8546011,Male,64,moderate thinness
95.31702551,1.970015757,24.56015377,Male,26,normal
101.6180012,1.798837119,31.40414449,Female,38,severe obese
91.93419368,1.693010459,32.07434446,Female,64,severe obese
95.62469998,1.822643097,28.78503855,Female,33,severe obese
50.8602608,1.883025799,14.34386015,Male,62,sever thinness
53.30093997,1.917194987,14.5011451,Male,20,sever thinness
83.95020903,1.737197876,27.81782703,Female,57,severe obese
78.49331389,1.802542907,24.15802589,Male,25,normal
64.67991229,1.851982498,18.85800151,Male,37,normal
69.85101592,1.616389316,26.7350367,Female,42,over weight
58.70758438,1.665563444,21.16273776,Female,21,normal
83.23653917,1.634835896,31.14337568,Female,24,severe obese
107.4159742,1.775745845,34.06491089,Female,55,severe obese
82.24963517,1.536515913,34.83853272,Female,37,obese
90.27242755,1.644031398,33.39911093,Female,47,severe obese
51.47806723,1.713962052,17.52345866,Male,29,mild thinness
93.41034359,1.968127089,24.11507915,Male,23,normal
105.4136856,1.735907329,34.98194272,Female,34,obese
78.512285,1.687032069,27.5861403,Female,63,over weight
97.30754561,1.764414963,31.2568389,Female,30,obese
97.47846653,1.742340658,32.11016566,Female,43,obese
66.81205156,1.701267328,23.08392657,Female,42,normal
91.73607063,1.735744518,30.44868414,Male,42,obese
92.95632012,1.86257626,26.79481707,Male,36,over weight
106.0074376,1.752710445,34.50769788,Female,63,obese
62.4665806,1.79915349,19.29795557,Male,34,normal
52.38536628,1.864938275,15.06194509,Male,31,sever thinness
96.33433054,1.852698119,28.06543399,Male,28,over weight
106.9164726,1.791994679,33.29439982,Female,34,severe obese
95.00785655,1.900976895,26.29092361,Male,26,over weight
51.78574149,1.935099356,13.82941031,Male,35,sever thinness
105.8934663,1.772080066,33.72115834,Male,57,obese
53.47297625,1.741531241,17.63079184,Female,47,mild thinness
58.02542666,1.667868682,20.85905525,Female,54,normal
66.09806553,1.793133492,20.55717838,Male,29,normal
95.2721235,1.739594404,31.48254562,Female,28,obese
51.69081359,1.722394456,17.42401073,Male,37,mild thinness
109.5814644,1.86350998,31.5553974,Male,21,obese
105.8757364,1.927500978,28.4975307,Male,51,over weight
66.11453211,1.895306496,18.40509344,Male,28,mild thinness
99.02791202,1.804451372,30.41355985,Male,55,obese
103.3613091,1.738031346,34.21706786,Female,51,obese
103.1234273,1.755417698,33.46542872,Male,65,obese
97.08357891,1.714506787,33.02686573,Female,65,severe obese
67.98750165,1.40697068,34.34464154,Female,55,obese
60.4930081,1.778894539,19.11634136,Male,47,normal
94.9900894,1.915579414,25.88677649,Male,27,over weight
105.5816072,1.805304061,32.39571359,Female,19,severe obese
95.72631907,1.867232215,27.45583752,Male,53,over weight
52.43905642,1.42627364,25.77799628,Female,18,over weight
67.10467229,1.876819331,19.05056339,Male,37,normal
104.9959196,1.858554899,30.39636377,Male,49,obese
105.045749,1.819411725,31.73339254,Female,48,severe obese
50.78862328,1.785835476,15.92515062,Male,46,sever thinness
83.63601346,1.820291016,25.24129734,Female,25,over weight
83.52859831,1.935999968,22.28560876,Male,42,normal
109.0372712,1.933531333,29.16570949,Male,37,over weight
65.60229542,1.933772144,17.54318469,Male,43,mild thinness
53.98666637,1.904013867,14.8917692,Male,54,sever thinness
70.66644643,1.9285212,19.00047324,Male,64,normal
91.00156525,1.820250057,27.46545232,Male,38,over weight
64.80628758,1.655853952,23.63595126,Female,26,normal
59.63238092,1.822203872,17.95925097,Male,54,mild thinness
65.44790068,1.494560395,29.30007832,Female,18,over weight
60.98219518,1.936653032,16.25920899,Male,55,moderate thinness
57.24066826,1.778929704,18.08785723,Male,54,mild thinness
94.42330404,1.835574228,28.02433336,Male,28,over weight
88.88368078,1.744276838,29.214012,Female,34,severe obese
63.91822385,1.77176459,20.36163569,Female,27,normal
100.5732492,1.751628479,32.77921024,Male,24,obese
90.03945103,1.935139305,24.04409141,Male,55,normal
98.10584309,1.81258862,29.86045194,Female,25,over weight
56.74497535,1.874571046,16.14818076,Male,35,moderate thinness
52.89591292,1.794997362,16.41702607,Male,23,moderate thinness
64.41526446,1.527752223,27.59833904,Female,46,over weight
67.54265588,1.925715087,18.2135276,Male,34,mild thinness
73.20552705,1.93157409,19.62099961,Male,47,normal
81.06681029,1.849698082,23.69416415,Male,62,normal
77.35678696,1.82941354,23.11397528,Male,25,normal
103.6151997,1.747788321,33.91921574,Female,22,severe obese
98.90616464,1.782729714,31.1209148,Male,56,obese
55.70775931,1.524309119,23.97560611,Female,43,normal
62.67910155,1.603190124,24.38668142,Female,26,normal
50.77415579,1.826255751,15.2236755,Male,28,sever thinness
99.56298871,1.947866321,26.24095446,Male,42,over weight
82.75809046,1.952152216,21.71616362,Male,53,normal
90.28189383,1.743542486,29.69857364,Male,60,over weight
60.93491258,1.656871886,22.19669603,Female,28,normal
95.19353323,1.753009113,30.97698169,Male,59,obese
53.64549895,1.591138083,21.18934579,Female,60,normal
104.1598249,1.850708199,30.41055478,Male,49,obese
103.238323,1.741086075,34.05653478,Female,30,obese
58.63554142,1.807219353,17.95308976,Male,20,mild thinness
97.21168003,1.708176278,33.31601709,Male,46,obese
94.28907618,1.817245734,28.5518376,Female,26,over weight
75.72171253,1.705391461,26.03587988,Male,49,over weight
72.23080587,1.548104676,30.13851263,Female,35,obese
103.2304313,1.819799105,31.17172581,Female,23,severe obese
55.79640372,1.898968577,15.47286197,Male,53,sever thinness
85.07506933,1.86947343,24.34241811,Male,56,normal
109.7575333,1.96284048,28.48815516,Male,44,severe obese
81.98782248,1.695779368,28.51088235,Female,22,over weight
63.63623983,1.701400793,21.98321706,Male,19,normal
93.58855806,1.835950331,27.76520603,Male,39,over weight
77.33767072,1.543411558,32.46591082,Female,52,obese
53.81163878,1.501515177,23.86804049,Female,64,normal
56.26559504,1.92371886,15.20406475,Male,49,sever thinness
101.0487003,1.773905756,32.1121694,Female,43,obese
90.66605755,1.741318603,29.90117483,Female,30,severe obese
102.9920863,1.92604674,27.7632441,Male,37,over weight
81.42095718,1.612328119,31.32054767,Female,48,severe obese
66.87105356,1.780928012,21.08363241,Male,33,normal
69.10146245,1.735028146,22.95483577,Female,41,normal
91.13240392,1.723265767,30.68798016,Male,52,obese
70.15972384,1.715478586,23.8406048,Male,29,normal
69.06224825,1.631689797,25.93973389,Female,63,over weight
62.25778338,1.672479202,22.25728579,Female,46,normal
57.54931114,1.655223512,21.00520073,Female,33,normal
108.1626438,1.835743668,32.09617036,Male,35,severe obese
57.83668428,1.792663776,17.99723143,Male,54,mild thinness
95.23364364,1.689278476,33.3724356,Female,52,severe obese
61.94948364,1.408163182,31.24148871,Female,39,obese
109.0883075,1.792401169,33.95531523,Female,48,severe obese
101.2999962,1.758357559,32.76385864,Male,33,obese
104.582869,1.784904218,32.82696409,Female,19,obese
75.09153155,1.837168384,22.24810554,Male,57,normal
70.97886379,1.474408713,32.65075782,Female,19,obese
102.8114631,1.80877819,31.42468363,Female,56,severe obese
91.95529822,1.7093653,31.47074253,Male,53,obese
67.07346868,1.75938882,21.66841329,Male,25,normal
86.7836245,1.959492743,22.6021871,Male,20,normal
89.55922741,1.72329593,30.15717206,Female,43,severe obese
67.26998853,1.877938402,19.07474179,Male,23,normal
82.62294466,1.928149678,22.22384404,Male,23,normal
58.62078486,1.813748107,17.81958906,Female,62,mild thinness
106.488416,1.840000868,31.45330681,Male,63,obese
87.19431574,1.840369067,25.74413618,Male,46,over weight
87.46760448,1.798166939,27.05124236,Male,42,over weight
98.06029143,1.950320494,25.77989895,Male,47,over weight
88.8128956,1.893219608,24.77844465,Male,56,normal
99.15328958,1.726631299,33.25890213,Female,46,obese
54.03212915,1.970858778,13.91044647,Male,34,sever thinness
100.8338876,1.750492794,32.90681556,Male,53,obese
109.9241893,1.887675227,30.84883152,Male,18,obese
70.02149988,1.846338252,20.54039896,Male,42,normal
57.03999531,1.504400968,25.20300194,Female,65,over weight
54.76069912,1.73586501,18.17343767,Female,29,mild thinness
94.0913305,1.79509647,29.19940649,Female,33,over weight
85.33236205,1.777648941,27.00360647,Female,44,severe obese
75.87631412,1.918915866,20.60603145,Male,31,normal
74.68167122,1.733518631,24.85175141,Female,23,normal
72.98792678,1.74728074,23.90703118,Male,29,normal
51.73396791,1.908682437,14.2006569,Male,20,sever thinness
100.6633255,1.77933828,31.79466323,Female,53,severe obese
57.90271201,1.83646921,17.16847034,Male,37,mild thinness
65.42046618,1.583795207,26.08048036,Female,55,over weight
60.78700481,1.724970055,20.42902427,Male,55,normal
68.7511113,1.70182366,23.73835432,Male,42,normal
100.8870885,1.798852111,31.17774269,Male,46,obese
55.52970225,1.768843562,17.74788044,Male,61,mild thinness
90.32403371,1.932778259,24.17905152,Male,48,normal
103.8960531,1.852180818,30.28532827,Male,52,obese
109.621914,1.876356308,31.13628238,Male,64,severe obese
89.10095685,1.766770187,28.54448706,Male,57,over weight
64.55405328,1.929437987,17.34051002,Male,52,mild thinness
101.1105478,1.781174969,31.87009048,Female,47,severe obese
84.22652413,1.888873822,23.60711866,Male,50,normal
52.95357847,1.557276013,21.8355495,Female,57,normal
65.64429249,1.918573616,17.83364167,Male,19,mild thinness
64.47872543,1.768040172,20.62681566,Female,40,normal
106.6594209,1.808706112,32.60342378,Female,38,severe obese
108.2194329,1.801596873,33.34187469,Male,39,obese
104.7928204,1.926255865,28.24252884,Male,26,severe obese
57.88567631,1.741730302,19.08135875,Male,28,normal
77.12174876,1.489695664,34.75215666,Female,30,obese
80.59976746,1.708825153,27.60187171,Male,26,over weight
73.17954951,1.548353677,30.52455857,Female,23,obese
